"","File.Name","Sample","Date","Subject","PlateWell","PlateRow","PlateColumn","Position","FileIndex","HeartLocation","runCol","MedianIntensity","TotalIds"
"X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_A13_BA14_1_7445.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_A13_BA14_1_7445.d","221019_CM_SUBJECT-03_CMs_Subject3_Lvendo_A13_BA14_1_7445.d",2022-10-19,"Subject3","A13","A","13","BA14","7445","Lvendo","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_A13_BA14_1_7445.d",14.0344679738378,6082
"X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_A14_BA15_1_7446.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_A14_BA15_1_7446.d","221019_CM_SUBJECT-03_CMs_Subject3_Lvendo_A14_BA15_1_7446.d",2022-10-19,"Subject3","A14","A","14","BA15","7446","Lvendo","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_A14_BA15_1_7446.d",13.8623903508992,3958
"X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_A15_BA16_1_7447.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_A15_BA16_1_7447.d","221019_CM_SUBJECT-03_CMs_Subject3_Lvendo_A15_BA16_1_7447.d",2022-10-19,"Subject3","A15","A","15","BA16","7447","Lvendo","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_A15_BA16_1_7447.d",13.8484762381117,5729
"X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_A16_BA17_1_7448.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_A16_BA17_1_7448.d","221019_CM_SUBJECT-03_CMs_Subject3_Lvendo_A16_BA17_1_7448.d",2022-10-19,"Subject3","A16","A","16","BA17","7448","Lvendo","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_A16_BA17_1_7448.d",14.2071973916886,6191
"X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_A17_BA18_1_7449.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_A17_BA18_1_7449.d","221019_CM_SUBJECT-03_CMs_Subject3_Lvendo_A17_BA18_1_7449.d",2022-10-19,"Subject3","A17","A","17","BA18","7449","Lvendo","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_A17_BA18_1_7449.d",14.2811548771382,9701
"X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_A18_BA19_1_7450.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_A18_BA19_1_7450.d","221019_CM_SUBJECT-03_CMs_Subject3_Lvendo_A18_BA19_1_7450.d",2022-10-19,"Subject3","A18","A","18","BA19","7450","Lvendo","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_A18_BA19_1_7450.d",14.676819313028,5942
"X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_B13_BB15_1_7465.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_B13_BB15_1_7465.d","221019_CM_SUBJECT-03_CMs_Subject3_Lvendo_B13_BB15_1_7465.d",2022-10-19,"Subject3","B13","B","13","BB15","7465","Lvendo","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_B13_BB15_1_7465.d",13.8879345499835,4555
"X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_B15_BB17_1_7466.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_B15_BB17_1_7466.d","221019_CM_SUBJECT-03_CMs_Subject3_Lvendo_B15_BB17_1_7466.d",2022-10-19,"Subject3","B15","B","15","BB17","7466","Lvendo","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_B15_BB17_1_7466.d",14.3679197699279,10806
"X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_B17_BB18_1_7467.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_B17_BB18_1_7467.d","221019_CM_SUBJECT-03_CMs_Subject3_Lvendo_B17_BB18_1_7467.d",2022-10-19,"Subject3","B17","B","17","BB18","7467","Lvendo","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_B17_BB18_1_7467.d",13.2281811241725,4108
"X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_B18_BB20_1_7468.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_B18_BB20_1_7468.d","221019_CM_SUBJECT-03_CMs_Subject3_Lvendo_B18_BB20_1_7468.d",2022-10-19,"Subject3","B18","B","18","BB20","7468","Lvendo","X:\TimsTOF-SCP\Data\CM_PROJECT\221019_CM_SUBJECT-03\CMs_Subject3_Lvendo_B18_BB20_1_7468.d",13.8760852245499,4319
