source	target	weight	source_mod	target_mod
mod0-0	mod1-0	1	mod0	mod1
mod0-0	mod1-3	1	mod0	mod1
mod0-0	mod2-0	1	mod0	mod2
mod0-0	mod2-4	1	mod0	mod2
mod0-0	mod2-6	1	mod0	mod2
mod0-0	mod2-7	1	mod0	mod2
mod0-1	mod1-1	1	mod0	mod1
mod0-1	mod1-2	1	mod0	mod1
mod0-1	mod1-3	1	mod0	mod1
mod0-1	mod2-1	1	mod0	mod2
mod0-1	mod2-2	1	mod0	mod2
mod0-1	mod2-3	1	mod0	mod2
mod0-1	mod2-4	1	mod0	mod2
mod0-1	mod2-5	1	mod0	mod2
mod0-1	mod2-6	1	mod0	mod2
mod0-1	mod2-7	1	mod0	mod2
mod1-0	mod2-0	1	mod1	mod2
mod1-0	mod2-4	1	mod1	mod2
mod1-0	mod2-7	1	mod1	mod2
mod1-1	mod2-1	1	mod1	mod2
mod1-1	mod2-4	1	mod1	mod2
mod1-1	mod2-5	1	mod1	mod2
mod1-1	mod2-7	1	mod1	mod2
mod1-2	mod2-2	1	mod1	mod2
mod1-2	mod2-3	1	mod1	mod2
mod1-2	mod2-4	1	mod1	mod2
mod1-2	mod2-5	1	mod1	mod2
mod1-3	mod2-6	1	mod1	mod2
mod1-3	mod2-7	1	mod1	mod2
